"Rule is not valid","Rule is not valid"
"Error occurred when generating coupons: %1","Error occurred when generating coupons: %1"
"Thank you for your purchase!","Thank you for your purchase!"
"Your order has been placed and will be processed as soon as possible.","Your order has been placed and will be processed as soon as possible."
"Your order number:","Your order number:"
"You may also like","You may also like"
"Use this coupon code: %1 to get %2 on your next order.","Use this coupon code: %1 to get %2 on your next order."
"Thank you for signing up!","Thank you for signing up!"
"Welcome you to our exclusive newsletters with every updates","Welcome you to our exclusive newsletters with every updates"
"You would be the first to reach our latest arrivals, news, events, various special promotions, giveaways and more.","You would be the first to reach our latest arrivals, news, events, various special promotions, giveaways and more."
"Stay tuned and keep updated. All the best!","Stay tuned and keep updated. All the best!"
"Enter coupon code: %1 when you make your next purchase enjoy %2 off","Enter coupon code: %1 when you make your next purchase enjoy %2 off"
"Customer Attributes","Customer Attributes"
"Order Attributes","Order Attributes"
"Coupon Attributes","Coupon Attributes"
"Store Attributes","Store Attributes"
"Other Attributes","Other Attributes"
"Customer Id","Customer Id"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
"Customer First Name","Customer First Name"
"Customer Last Name","Customer Last Name"
"Customer Name","Customer Name"
"Customer Gender","Customer Gender"
"Order Id","Order Id"
"Order Coupon","Order Coupon"
"Shipping Description","Shipping Description"
"Is Virtual","Is Virtual"
"Store Id","Store Id"
"Grand Total","Grand Total"
Subtotal,Subtotal
"Shipping Amount","Shipping Amount"
"Tax Amount","Tax Amount"
"Total Qty Ordered","Total Qty Ordered"
"Order Currency Code","Order Currency Code"
"Created at","Created at"
"Rule Id","Rule Id"
"Rule Description","Rule Description"
"Coupon Code","Coupon Code"
"Discount Amount","Discount Amount"
"Store Name","Store Name"
"Store Base Url","Store Base Url"
"Current Url","Current Url"
"Store Base Currency Code","Store Base Currency Code"
"Store Current Currency Code","Store Current Currency Code"
"Order Items","Order Items"
"Order Total","Order Total"
"Shipping Address","Shipping Address"
"The module is disabled","The module is disabled"
"Rule with ID %1 doesn't exist","Rule with ID %1 doesn't exist"
"The template data is invalid. Verify the data and try again.","The template data is invalid. Verify the data and try again."
"The subscribe success page is disabled","The subscribe success page is disabled"
"An Order ID is needed. Set the Order ID and try again.","An Order ID is needed. Set the Order ID and try again."
"The template that was requested doesn't exist or the order success page is disabled. Verify the orderId and try again.","The template that was requested doesn't exist or the order success page is disabled. Verify the orderId and try again."
"Missing field: ","Missing field: "
"The status value must have a value of 0 or 1","The status value must have a value of 0 or 1"
"page_type value must have a value of order or newsletter","page_type value must have a value of order or newsletter"
"style value for order success page must have a value of simple or complex","style value for order success page must have a value of simple or complex"
"style value for subscribe success page must have a value of style1 or style2 or style3","style value for subscribe success page must have a value of style1 or style2 or style3"
"custom_style value must have a value of 0 or 1","custom_style value must have a value of 0 or 1"
"Missing custom_style field.","Missing custom_style field."
Edit,Edit
"All Customer Groups","All Customer Groups"
"All Store Views","All Store Views"
Add,Add
"Add Filter","Add Filter"
"Your order number is: %1.","Your order number is: %1."
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","We'll email you an order confirmation with details and tracking info."
"Continue Shopping","Continue Shopping"
"Read more","Read more"
"There is no answer for this question.","There is no answer for this question."
"View all","View all"
Collapse,Collapse
"Create an Account","Create an Account"
"For tracking your order status easily.","For tracking your order status easily."
"Email Address","Email Address"
"Sign Up for Our Newsletter","Sign Up for Our Newsletter"
"For every updated news, events, promotion or loyalty programs","For every updated news, events, promotion or loyalty programs"
Subscribe,Subscribe
"The price depends on the options chosen on the product page","The price depends on the options chosen on the product page"
"Configure %1 on the product page","Configure %1 on the product page"
Configure,Configure
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
Carousel,Carousel
"Carousel %1","Carousel %1"
"Navigating through the elements of the carousel is possible using the tab key. You can skip the carousel or go straight to carousel navigation using the skip links.","Navigating through the elements of the carousel is possible using the tab key. You can skip the carousel or go straight to carousel navigation using the skip links."
"Press to skip carousel","Press to skip carousel"
"Press to go to carousel navigation","Press to go to carousel navigation"
"Item %1","Item %1"
"Previous slide","Previous slide"
"Display slide %1","Display slide %1"
"Next slide","Next slide"
"Continue to Homepage","Continue to Homepage"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Insert Variable","Insert Variable"
"Click to each attribute to add filter & insert it to the template ","Click to each attribute to add filter & insert it to the template "
"--Please Select--","--Please Select--"
Delete,Delete
"Mageplaza ThankYouPage","Mageplaza ThankYouPage"
"Manage Rules","Manage Rules"
"Thank You Page","Thank You Page"
