"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO."
"Content settings","Content settings"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs."
"Show products","Show products"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs."
"Show categories","Show categories"
"When enabled, all categories will be included in the frontend sitemap.","When enabled, all categories will be included in the frontend sitemap."
"Show CMS pages","Show CMS pages"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap."
"Show additional links","Show additional links"
"When enabled, additional links will be included in the frontend sitemap.","When enabled, additional links will be included in the frontend sitemap."
"Show stores","Show stores"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation."
"Show landing pages","Show landing pages"
"When enabled, landing pages will be included in the frontend sitemap.","When enabled, landing pages will be included in the frontend sitemap."
"Show brands","Show brands"
"When enabled, brands will be included in the frontend sitemap.","When enabled, brands will be included in the frontend sitemap."
"Show knowledge base","Show knowledge base"
"When enabled, the knowledge base will be included in the frontend sitemap.","When enabled, the knowledge base will be included in the frontend sitemap."
"Show blog","Show blog"
"When enabled, the blog will be included in the frontend sitemap.","When enabled, the blog will be included in the frontend sitemap."
"Show Aheadworks blog","Show Aheadworks blog"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","When enabled, the Aheadworks blog will be included in the frontend sitemap."
"Show FishPig blog","Show FishPig blog"
"When enabled, the FishPig blog will be included in the frontend sitemap.","When enabled, the FishPig blog will be included in the frontend sitemap."
"Show Mageplaza blog","Show Mageplaza blog"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","When enabled, the Mageplaza blog will be included in the frontend sitemap."
"Show Magefan blog","Show Magefan blog"
"When enabled, the Magefan blog will be included in the frontend sitemap.","When enabled, the Magefan blog will be included in the frontend sitemap."
"Show Amasty blog","Show Amasty blog"
"When enabled, the Amasty blog will be included in the frontend sitemap.","When enabled, the Amasty blog will be included in the frontend sitemap."
"Show Magezon blog","Show Magezon blog"
"When enabled, the Magezon blog will be included in the frontend sitemap.","When enabled, the Magezon blog will be included in the frontend sitemap."
"XML sitemap settings","XML sitemap settings"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content."
"Common settings","Common settings"
"Settings that apply to all XML sitemap entries regardless of content type.","Settings that apply to all XML sitemap entries regardless of content type."
"Strip optional sitemap tags","Strip optional sitemap tags"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines."
"Strip optional image tags","Strip optional image tags"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance."
"Strip PageMap tags","Strip PageMap tags"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity."
"Categories options","Categories options"
"Configure how category pages appear in XML sitemaps.","Configure how category pages appear in XML sitemaps."
Frequency,Frequency
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency."
Priority,Priority
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Suggest the relative importance of category pages. This is a hint only and may not affect ranking."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","Valid values range from 0.0 (lowest) to 1.0 (highest)"
"Products options","Products options"
"Configure how product pages appear in XML sitemaps.","Configure how product pages appear in XML sitemaps."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used."
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
"Add images into sitemap","Add images into sitemap"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results."
"Include disabled products","Include disabled products"
"When enabled, products that are disabled will still appear in XML sitemaps.","When enabled, products that are disabled will still appear in XML sitemaps."
"Include out of stock products","Include out of stock products"
"When enabled, products that are out of stock will still appear in XML sitemaps.","When enabled, products that are out of stock will still appear in XML sitemaps."
"CMS pages options","CMS pages options"
"Configure how CMS pages appear in XML sitemaps.","Configure how CMS pages appear in XML sitemaps."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values."
"Store URL options","Store URL options"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Configure how store view URLs appear in XML sitemaps for multi-store setups."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority."
"Generation settings","Generation settings"
"Configure automated XML sitemap generation and error notifications.","Configure automated XML sitemap generation and error notifications."
"Enable sitemap generation","Enable sitemap generation"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates."
"Start time","Start time"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load."
"Error email recipient","Error email recipient"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications."
"Error email sender","Error email sender"
"Email sender identity for sitemap generation error notifications.","Email sender identity for sitemap generation error notifications."
"Error email template","Error email template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Sitemap file limits","Sitemap file limits"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","Configure XML sitemap file size limits to ensure compatibility with search engines."
"Maximum number of URLs per file","Maximum number of URLs per file"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically."
"Search engines recommend no more than 50,000 URLs per file","Search engines recommend no more than 50,000 URLs per file"
"Maximum file size","Maximum file size"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically."
"Search engines recommend files under 50MB (52,428,800 bytes)","Search engines recommend files under 50MB (52,428,800 bytes)"
"Search engine submission settings","Search engine submission settings"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","Configure automatic submission of XML sitemaps to search engines via robots.txt."
"Enable submission to robots.txt","Enable submission to robots.txt"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools."
"Split sitemap by entity type","Split sitemap by entity type"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files."
"Custom name for additional sitemap file","Custom name for additional sitemap file"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only."
"Sort URLs by priority","Sort URLs by priority"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled."
"XML parse error","XML parse error"
"empty or non-absolute <loc>","empty or non-absolute <loc>"
"placeholder <loc>","placeholder <loc>"
"duplicate <loc>","duplicate <loc>"
"Valid sitemap XML","Valid sitemap XML"
"Valid sitemap URLs","Valid sitemap URLs"
